ID,Age,Salary,Experience,Department,Joining_Date,Experience_Level
60,37.0,0.9999999999999999,15.0,Finance,2014-12-31,Senior
61,39.0,0.18984105765730863,6.0,It,2015-01-31,Mid
62,28.0,0.12985506382598294,13.0,Marketing,2015-02-28,Mid
63,44.0,0.032335517983452286,8.0,Marketing,2015-03-31,Mid
64,20.0,0.11983150025649596,14.0,Hr,2015-04-30,Mid
65,34.0,0.013689007711907161,20.0,Sales,2015-05-31,Senior
66,61.0,0.013544263111625765,34.0,Marketing,2015-06-30,Senior
67,45.0,0.14597492938379242,20.0,Hr,2015-07-31,Senior
68,46.0,0.01895089965154867,26.0,Marketing,2015-08-31,Senior
69,38.0,0.16801868056782454,1.0,Sales,2015-09-30,Entry
70,42.0,0.02534733382574879,34.0,Finance,2015-10-31,Senior
71,33.0,0.08270663888137968,17.0,Sales,2015-11-30,Senior
72,54.0,0.04832766771748409,20.0,It,2015-12-31,Senior
73,37.0,0.0688579863897504,19.0,Marketing,2016-01-31,Senior
74,23.0,0.16586879753423317,17.0,Marketing,2016-02-29,Senior
75,36.0,0.0037505880249386475,9.0,It,2016-03-31,Mid
76,22.0,0.09269188770373334,24.0,It,2016-04-30,Senior
77,20.0,0.17583063178889424,1.0,Finance,2016-05-31,Entry
78,18.0,0.00907420927940604,24.0,Marketing,2016-06-30,Senior
79,55.0,0.021324285376751045,32.0,Marketing,2016-07-31,Senior
80,32.0,0.048934317880428194,35.0,Finance,2016-08-31,Senior
81,51.0,0.028655173661591385,30.0,Hr,2016-09-30,Senior
82,52.0,0.07912633862147798,13.0,Finance,2016-10-31,Mid
83,66.0,0.10241319049027976,0.0,Sales,2016-11-30,Entry
84,42.0,0.1004846815512364,15.0,Marketing,2016-12-31,Senior
85,41.0,0.03271653685772245,2.0,It,2017-01-31,Entry
86,29.0,0.18689507932216953,34.0,Sales,2017-02-28,Senior
87,35.0,0.11750281506961575,5.0,Marketing,2017-03-31,Mid
88,32.0,0.06049047133524765,24.0,Finance,2017-04-30,Senior
89,61.0,0.17206088639038897,12.0,Sales,2017-05-31,Mid
90,33.0,0.0935135261700366,33.0,Marketing,2017-06-30,Senior
91,44.0,0.07722550144425312,7.0,Hr,2017-07-31,Mid
92,25.0,0.1397019538392441,20.0,Hr,2017-08-31,Senior
93,63.0,0.10628297995074427,20.0,It,2017-09-30,Senior
94,42.0,0.0907122924351789,3.0,Marketing,2017-10-31,Entry
95,34.0,0.0935135261700366,24.0,Hr,2017-11-30,Senior
96,42.0,0.1146334662287433,14.0,Finance,2017-12-31,Mid
97,25.0,0.06482003776131191,20.0,Marketing,2018-01-31,Senior
98,32.0,0.06744034074581785,11.0,Finance,2018-02-28,Mid
99,44.0,0.16800378038838382,31.0,Finance,2018-03-31,Senior
100,63.0,0.09972051520563312,31.0,Hr,2018-04-30,Senior
101,67.0,0.04108405191222518,27.0,Marketing,2018-05-31,Senior
102,69.0,0.08957136440943138,12.0,Sales,2018-06-30,Mid
103,24.0,0.16753974622865814,30.0,Hr,2018-07-31,Senior
104,20.0,0.05699744355492739,13.0,Hr,2018-08-31,Mid
105,46.0,0.01685423154453132,19.0,Marketing,2018-09-30,Senior
106,61.0,0.0935135261700366,17.0,Marketing,2018-10-31,Senior
107,41.0,0.14764374948115444,28.0,Finance,2018-11-30,Senior
108,20.0,0.03593071842279473,5.0,Marketing,2018-12-31,Mid
109,37.0,0.01170089805510087,31.0,Finance,2019-01-31,Senior
110,63.0,0.12850127609393924,28.0,Hr,2019-02-28,Senior
111,32.0,0.15576434727635363,1.0,It,2019-03-31,Entry
112,42.0,0.1850197853097002,22.0,Sales,2019-04-30,Senior
113,47.0,0.15379752359017695,18.0,Hr,2019-05-31,Senior
114,42.0,0.05747424929703082,30.0,Marketing,2019-06-30,Senior
115,24.0,0.18080942031916186,4.0,Finance,2019-07-31,Entry
116,34.0,0.140097872892955,18.0,It,2019-08-31,Senior
117,61.0,0.08445208847300832,33.0,It,2019-09-30,Senior
118,37.0,0.05473900207112495,9.0,Finance,2019-10-31,Mid
119,53.0,0.061639913749247,24.0,Sales,2019-11-30,Senior
120,26.0,0.0935135261700366,1.0,Finance,2019-12-31,Entry
121,55.0,0.00831642872499165,10.0,Hr,2020-01-31,Mid
122,65.0,0.13784368860327845,30.0,Sales,2020-02-29,Senior
123,39.0,0.07687215433180146,14.0,Hr,2020-03-31,Mid
124,19.0,0.15557915933187594,8.0,Finance,2020-04-30,Mid
125,41.0,0.053681089330832946,20.0,Sales,2020-05-31,Senior
126,25.0,0.03738880741092354,18.0,Finance,2020-06-30,Senior
127,28.0,0.007460732705681025,8.0,Sales,2020-07-31,Mid
128,30.0,0.9999999999999999,34.0,Finance,2020-08-31,Senior
129,34.0,0.110084654305194,20.0,It,2020-09-30,Senior
130,25.0,0.007490533064562488,8.0,Finance,2020-10-31,Mid
131,38.0,0.18932806576513483,27.0,It,2020-11-30,Senior
132,35.0,0.058570476784456135,6.0,Finance,2020-12-31,Mid
133,47.0,0.018946642457422738,15.0,Sales,2021-01-31,Senior
134,35.0,0.1649811725589781,15.0,Sales,2021-02-28,Senior
135,63.0,0.07542896552311339,32.0,Sales,2021-03-31,Senior
136,64.0,0.0935135261700366,20.0,Marketing,2021-04-30,Senior
137,48.0,0.17699923157646025,3.0,Hr,2021-05-31,Entry
138,55.0,0.018561366389026668,38.0,Sales,2021-06-30,Senior
139,49.0,0.04733148429201797,39.0,It,2021-07-31,Senior
140,28.0,0.16978967332420875,16.0,Sales,2021-08-31,Senior
141,62.0,0.13461673545582842,36.0,Marketing,2021-09-30,Senior
142,42.0,0.16291430481084224,38.0,It,2021-10-31,Senior
143,50.0,0.12777116730134336,28.0,Marketing,2021-11-30,Senior
144,55.0,0.0539173636048217,35.0,It,2021-12-31,Senior
145,58.0,0.16468742616428939,37.0,Finance,2022-01-31,Senior
146,25.0,0.04769121719565851,38.0,Hr,2022-02-28,Senior
147,28.0,0.013333532002392554,36.0,Hr,2022-03-31,Senior
148,39.0,0.07540342235835783,34.0,Marketing,2022-04-30,Senior
149,68.0,0.06628664113769257,6.0,Hr,2022-05-31,Mid
150,41.0,0.13734772548760837,20.0,Marketing,2022-06-30,Senior
151,58.0,0.002064739151072928,27.0,Marketing,2022-07-31,Senior
152,34.0,0.9999999999999999,21.0,Marketing,2022-08-31,Senior
153,29.0,0.06933266353479085,13.0,Hr,2022-09-30,Mid
154,63.0,0.04561370646220783,6.0,Marketing,2022-10-31,Mid
155,49.0,0.1738680652968435,36.0,Hr,2022-11-30,Senior
156,32.0,0.11354788172663279,21.0,Marketing,2022-12-31,Senior
157,33.0,0.024157448067553156,4.0,Sales,2023-01-31,Entry
158,39.0,0.0935135261700366,1.0,Marketing,2023-02-28,Entry
159,45.0,0.024172348246993894,26.0,It,2023-03-31,Senior
160,37.0,0.09921816629877415,20.0,Finance,2023-04-30,Senior
161,50.0,0.15658598574265686,37.0,Finance,2023-05-31,Senior
162,27.0,0.05695912880779408,14.0,Marketing,2023-06-30,Mid
163,57.0,0.1734849178255104,20.0,It,2023-07-31,Senior
164,49.0,0.12703892991168453,9.0,It,2023-08-31,Mid
165,67.0,0.057003829346116267,22.0,Hr,2023-09-30,Senior
166,50.0,0.16710976962193985,38.0,Sales,2023-10-31,Senior
167,19.0,0.12375876183766042,4.0,Marketing,2023-11-30,Entry
168,50.0,0.0935135261700366,0.0,Hr,2023-12-31,Entry
169,50.0,0.07017345937466075,12.0,Sales,2024-01-31,Mid
170,58.0,0.1360152237261943,20.0,Marketing,2024-02-29,Senior
171,42.0,0.14849093111221323,25.0,Finance,2024-03-31,Senior
172,47.0,0.12553401178817053,20.0,Finance,2024-04-30,Senior
173,50.0,0.18509428620690388,17.0,It,2024-05-31,Senior
174,30.0,0.0832345309529942,36.0,It,2024-06-30,Senior
175,69.0,0.1189481324753668,31.0,Finance,2024-07-31,Senior
176,43.0,0.018516665850704467,35.0,Hr,2024-08-31,Senior
177,39.0,0.07813441239013778,16.0,Sales,2024-09-30,Senior
178,56.0,0.09615298652810918,34.0,Marketing,2024-10-31,Senior
179,19.0,0.16689265272151776,10.0,It,2024-11-30,Mid
180,55.0,0.07970105982847765,20.0,Hr,2024-12-31,Senior
181,56.0,0.09935013931667779,25.0,Finance,2025-01-31,Senior
182,43.0,0.0935135261700366,3.0,It,2025-02-28,Entry
183,63.0,0.01235650595049309,33.0,Finance,2025-03-31,Senior
184,67.0,0.10623402221829616,17.0,Finance,2025-04-30,Senior
185,32.0,0.014780978005206558,39.0,Sales,2025-05-31,Senior
186,51.0,0.12241348849386859,34.0,It,2025-06-30,Senior
187,59.0,0.07699348436439028,28.0,It,2025-07-31,Senior
188,61.0,0.09034830233741244,28.0,Marketing,2025-08-31,Senior
189,66.0,0.1537336656782881,37.0,Hr,2025-09-30,Senior
190,57.0,0.028225197054873113,20.0,Sales,2025-10-31,Senior
191,28.0,0.0655671753304115,12.0,It,2025-11-30,Mid
192,20.0,0.11597448237840922,16.0,Sales,2025-12-31,Senior
193,23.0,0.13612378217640536,8.0,It,2026-01-31,Mid
194,26.0,0.025717709714704134,0.0,Sales,2026-02-28,Entry
195,23.0,0.0952951619117356,1.0,Finance,2026-03-31,Entry
196,26.0,0.09235769796484834,28.0,It,2026-04-30,Senior
197,56.0,0.048881102953854144,32.0,Sales,2026-05-31,Senior
198,48.0,0.1833956657506604,9.0,Hr,2026-06-30,Mid
199,49.0,0.0935135261700366,39.0,Finance,2026-07-31,Senior
200,58.0,0.0935135261700366,20.0,Finance,2026-08-31,Senior
201,67.0,0.06285108547807226,27.0,Hr,2026-09-30,Senior
202,29.0,0.15406998401423605,10.0,Sales,2026-10-31,Mid
203,25.0,0.13503606907723187,33.0,Marketing,2026-11-30,Senior
204,25.0,0.007337274076029229,7.0,Hr,2026-12-31,Mid
205,67.0,0.1890513481469498,21.0,Sales,2027-01-31,Senior
206,45.0,0.039455675159059414,7.0,Hr,2027-02-28,Mid
207,37.0,0.10251536314930192,14.0,Hr,2027-03-31,Mid
208,64.0,0.1574416817619675,16.0,It,2027-04-30,Senior
209,24.0,0.013269674090503697,22.0,Sales,2027-05-31,Senior
210,28.0,0.051946282724519094,23.0,Marketing,2027-06-30,Senior
211,37.0,0.025419706125889494,18.0,It,2027-07-31,Senior
212,33.0,0.12554891196761125,4.0,Hr,2027-08-31,Entry
213,21.0,0.04569672174766333,31.0,Hr,2027-09-30,Senior
214,42.0,0.15075575838720456,0.0,Hr,2027-10-31,Entry
215,39.0,0.09038235989041983,22.0,Sales,2027-11-30,Senior
216,43.0,0.028663688049843233,36.0,Sales,2027-12-31,Senior
217,20.0,0.16275040283699416,7.0,It,2028-01-31,Mid
218,58.0,0.1873101557494471,12.0,Marketing,2028-02-29,Mid
219,59.0,0.1714606220186337,7.0,It,2028-03-31,Mid
220,31.0,0.1388313576404927,22.0,Finance,2028-04-30,Senior
221,28.0,0.049941144291209105,0.0,Hr,2028-05-31,Entry
222,35.0,0.07207642514894859,23.0,Hr,2028-06-30,Senior
223,29.0,0.18855538503127972,34.0,Hr,2028-07-31,Senior
224,40.0,0.019642693697011243,23.0,It,2028-08-31,Senior
225,29.0,0.11077644835065657,16.0,It,2028-09-30,Senior
226,30.0,0.07913485300972982,4.0,Hr,2028-10-31,Entry
227,42.0,0.9999999999999999,19.0,It,2028-11-30,Senior
228,62.0,0.0935135261700366,20.0,Sales,2028-12-31,Senior
229,68.0,0.16003005579052904,39.0,Finance,2029-01-31,Senior
230,36.0,0.06639945678202953,30.0,It,2029-02-28,Senior
231,63.0,0.15245863603757398,35.0,Hr,2029-03-31,Senior
232,53.0,0.07211048270195598,10.0,It,2029-04-30,Mid
233,62.0,0.11839044004487083,14.0,It,2029-05-31,Mid
234,25.0,0.07714887194998647,18.0,It,2029-06-30,Senior
235,46.0,0.01494275138199165,6.0,Finance,2029-07-31,Mid
236,49.0,0.06748291268707708,27.0,Sales,2029-08-31,Senior
237,68.0,0.07627614715417215,4.0,Marketing,2029-09-30,Entry
238,61.0,0.1888342312465277,4.0,Marketing,2029-10-31,Entry
239,35.0,0.13936776410035911,29.0,Finance,2029-11-30,Senior
240,23.0,0.17319117143082163,31.0,It,2029-12-31,Senior
241,35.0,0.13894204468776672,7.0,Finance,2030-01-31,Mid
242,36.0,0.1455300525976334,9.0,Finance,2030-02-28,Mid
243,39.0,0.0935135261700366,37.0,Hr,2030-03-31,Senior
244,54.0,0.05524347957504688,31.0,Sales,2030-04-30,Senior
245,49.0,0.03709293241917186,27.0,Marketing,2030-05-31,Senior
246,58.0,0.03577533083719851,16.0,It,2030-06-30,Senior
247,20.0,0.17097955908240436,30.0,Marketing,2030-07-31,Senior
248,45.0,0.10408201058764179,7.0,Marketing,2030-08-31,Mid
249,27.0,0.08815371876549884,39.0,Sales,2030-09-30,Senior
250,68.0,0.16395306017756756,24.0,Marketing,2030-10-31,Senior
251,52.0,0.14512987634979663,8.0,Marketing,2030-11-30,Mid
252,46.0,0.03364673377423674,1.0,Finance,2030-12-31,Entry
253,32.0,0.07141017426824155,14.0,Sales,2031-01-31,Mid
254,50.0,0.0855334157809929,2.0,Hr,2031-02-28,Entry
255,24.0,0.9999999999999999,20.0,It,2031-03-31,Senior
256,29.0,0.12300310988030898,3.0,Marketing,2031-04-30,Entry
257,66.0,0.15855706662295949,13.0,It,2031-05-31,Mid
258,47.0,0.05748489228234563,24.0,Hr,2031-06-30,Senior
259,38.0,0.12255823309414997,9.0,It,2031-07-31,Mid
260,48.0,0.015355699212206239,20.0,Hr,2031-08-31,Senior
261,41.0,0.1846110946736116,35.0,Finance,2031-09-30,Senior
262,42.0,0.03729302054309026,11.0,Marketing,2031-10-31,Mid
263,54.0,0.008835806408354324,26.0,Finance,2031-11-30,Senior
264,21.0,0.138148077983282,39.0,It,2031-12-31,Senior
265,45.0,0.06792353227911017,1.0,Marketing,2032-01-31,Entry
266,61.0,0.18836593989267614,12.0,Finance,2032-02-29,Mid
267,37.0,0.06748291268707708,31.0,Marketing,2032-03-31,Senior
268,41.0,0.11823718105633758,30.0,Hr,2032-04-30,Senior
269,67.0,0.13246472382517405,15.0,Finance,2032-05-31,Senior
270,66.0,0.06207840474421715,31.0,It,2032-06-30,Senior
271,68.0,0.10918425774756117,31.0,Finance,2032-07-31,Senior
272,49.0,0.12928885700723508,33.0,Finance,2032-08-31,Senior
273,58.0,0.08144012362891741,10.0,Sales,2032-09-30,Mid
274,42.0,0.03707590364266816,9.0,Finance,2032-10-31,Mid
275,51.0,0.07170392066293028,14.0,Finance,2032-11-30,Mid
276,53.0,0.16203306562677605,16.0,Marketing,2032-12-31,Senior
277,19.0,0.0655607895392226,39.0,It,2033-01-31,Senior
278,32.0,0.08370707950097171,17.0,Marketing,2033-02-28,Senior
279,51.0,0.11504215686483195,8.0,Marketing,2033-03-31,Mid
280,53.0,0.02579008201484484,24.0,Hr,2033-04-30,Senior
281,23.0,0.1557537042910388,39.0,Marketing,2033-05-31,Senior
282,56.0,0.029806744672653707,13.0,Sales,2033-06-30,Mid
283,59.0,0.03458757367606585,24.0,Sales,2033-07-31,Senior
284,68.0,0.06632708448188883,21.0,Hr,2033-08-31,Senior
285,68.0,0.11583186637519079,29.0,It,2033-09-30,Senior
286,29.0,0.02107098232625859,19.0,It,2033-10-31,Senior
287,20.0,0.14432100946587112,20.0,Marketing,2033-11-30,Senior
288,62.0,0.15332923223632539,31.0,Marketing,2033-12-31,Senior
289,35.0,0.1364601005123533,20.0,Marketing,2034-01-31,Senior
290,57.0,0.14696259842100667,34.0,It,2034-02-28,Senior
291,38.0,0.14981066129124954,31.0,Finance,2034-03-31,Senior
292,32.0,0.02245457041718374,29.0,Sales,2034-04-30,Senior
293,50.0,0.14432739525706,38.0,Finance,2034-05-31,Senior
294,52.0,0.07699348436439028,11.0,Finance,2034-06-30,Mid
295,42.0,0.008616560910869264,17.0,It,2034-07-31,Senior
296,42.0,0.030389980267905237,20.0,Finance,2034-08-31,Senior
297,53.0,0.1199294157213922,12.0,Hr,2034-09-30,Mid
298,65.0,0.07300236487133695,20.0,Marketing,2034-10-31,Senior
299,42.0,0.15663707207216793,7.0,Hr,2034-11-30,Mid
300,40.0,0.09558677970936137,20.0,Sales,2034-12-31,Senior
301,59.0,0.15722243626448246,6.0,Marketing,2035-01-31,Mid
302,61.0,0.010732386391453269,22.0,Finance,2035-02-28,Senior
303,31.0,0.04043057261389592,31.0,Sales,2035-03-31,Senior
304,31.0,0.12424408196801569,10.0,Marketing,2035-04-30,Mid
305,19.0,0.02017697155981464,21.0,Finance,2035-05-31,Senior
306,54.0,0.11314770547879598,21.0,Hr,2035-06-30,Senior
307,22.0,0.0009663830665846557,24.0,Marketing,2035-07-31,Senior
308,55.0,0.09501205850236168,21.0,Finance,2035-08-31,Senior
309,42.0,0.12932504315730547,20.0,Hr,2035-09-30,Senior
310,58.0,0.09072293542049371,28.0,Sales,2035-10-31,Senior
311,64.0,0.1030177120561609,12.0,Sales,2035-11-30,Mid
312,31.0,0.021964993092702542,17.0,Sales,2035-12-31,Senior
313,56.0,0.14624100401666268,1.0,Sales,2036-01-31,Entry
314,42.0,0.054034436443284595,28.0,It,2036-02-29,Senior
315,37.0,0.061250380486725,20.0,Marketing,2036-03-31,Senior
316,19.0,0.0,14.0,Marketing,2036-04-30,Mid
317,56.0,0.0935135261700366,26.0,It,2036-05-31,Senior
318,23.0,0.14562158227134075,30.0,Finance,2036-06-30,Senior
319,34.0,0.061986875070509775,14.0,Finance,2036-07-31,Mid
320,42.0,0.09849444329736713,22.0,Sales,2036-08-31,Senior
